מספר מתקן,שם מתקן,מספר צרכן בעל המתקן,שם צרכן בעל המתקן,בעלות המתקן,סטאטוס,קבוצת מים,אקוויפר,ספיקה שעתית מקסימלית,מספר הפקה,מספר ארצי,אזור הפקה,אזור חקלאי,אזור גיאוגרפי,אזור אדמיניסטרטיבי,אזור תכנון
229937,פ מעגן מיכאל המשק 1,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח מליח פליסטוקן מעגן מיכאל,פליו-פליסטוקן מילוי,70.00,11721,14321860,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229938,פ מעגן מיכאל נקז 1,2316,מעגן-מיכאל קבוץ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,11855,14221846,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229939,מעין צבי מ2,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח מליח פל. הפקה למדגה,פליו-פליסטוקן מילוי,,00000י,14322000,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229940,מעיין צבי מ'8,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח מליח פל. הפקה למדגה,פליו-פליסטוקן מילוי,,00000כ,14322104,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229946,פ זכרון יעקב אדלר,2317,מעין צבי קבוצת המכבי הצעיר להתישבות,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,10010,14422028א,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229947,פ מעין צבי א,2317,מעין צבי קבוצת המכבי הצעיר להתישבות,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,קנומן בלתי מחולק,,10011,14422066,מערכת ארצית,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229948,פ מעין צבי ג,2317,מעין צבי קבוצת המכבי הצעיר להתישבות,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,10013,14422042,מערכת ארצית,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229949,פ מעין צבי ד,2317,מעין צבי קבוצת המכבי הצעיר להתישבות,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,10014,14421924,מערכת ארצית,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229950,פ מעין צבי ה,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח מליח פליסטוקן מעיין צבי,פליו-פליסטוקן מילוי,180.00,10015,14322082,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229951,פ מעין צבי דקל ז,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח מליח מעיין צבי,קנומן - טורון,,11720,14421968,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229952,פ מעין צבי ו טנטורה,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח מליח פליסטוקן מעיין צבי,פליו-פליסטוקן מילוי,,11726,14422202,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229953,פ חות מקורה,2320,חוות מקורה בע"מ,צרכן פרטי,פעיל,קידוח שפיר בזלת,קנומן - טורון,20.00,16293,15022688א,מערכת ארצית,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229954,פ דור א המדגה,2321,דור תח' למדגה - משרד החקל' אגף הדיג,צרכן פרטי,פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,11204,14322460א,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229955,פ דור ב המדגה,2321,דור תח' למדגה - משרד החקל' אגף הדיג,צרכן פרטי,פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,100.00,11531,14322342,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229957,פ נוה ים קבוץ 2,2326,נוה-ים קבוץ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,250.00,16193,14422908,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229958,פ נוה ים קבוץ 1,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן נוה ים,פליו-פליסטוקן מילוי,120.00,16194,14423144,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229959,פ נוה ים באר ד,2326,נוה-ים קבוץ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,120.00,16415,14423024,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229960,פ נוה ים באר ה,2326,נוה-ים קבוץ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,16416,14422924,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229961,פ נוה ים באר ג,2326,נוה-ים קבוץ,צרכן פרטי,לא פעיל,קידוח מליח טורון,פליו-פליסטוקן מילוי,,16492,14523044,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229963,פ נחשולים קב א,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח מליח פליסטוקן נחשולים,פליו-פליסטוקן מילוי,100.00,11001,14222462,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229964,פ נחשולים קב ב,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח מליח פליסטוקן נחשולים,פליו-פליסטוקן מילוי,,11604,14422500,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229965,פ נחשולים קב ג,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח מליח פליסטוקן נחשולים,פליו-פליסטוקן מילוי,120.00,11605,14322502,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229967,פ עין כרמל באר המשק,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח מליח טורון עין כרמל,קנומן - טורון,,11208,14623122,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229968,פ עין כרמל מזרח,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח מליח טורון עין כרמל,קנומן - טורון,,11786,14623108,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229970,פ שדות ים א,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,210.00,11435,14021100,מערכת ארצית,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229971,פ שדות ים קבוץ ב,2355,שדות-ים קבוץ,צרכן פרטי,פעיל,קידוח מטויב פליסטוקן,פליו-פליסטוקן מילוי,,11437,14021166,מערכת ארצית,המרכז,חוף הכרמל,חוף הכרמל מ.א,שרון
229972,פ שדות ים קבוץ ג,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,130.00,11439,14121106,מערכת ארצית,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229973,פ שדות ים ד מא,2270,מי חוף הכרמל אגש"ח למים בחוף הכרמל,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11601,14121202,מערכת ארצית,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229974,פ כפר הנוער שפיה ב,2356,מאיר שפיה - בית ספר חקלאי,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,140.00,10008א,14622140,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229975,פ שפיה ביהס א,2356,מאיר שפיה - בית ספר חקלאי,צרכן פרטי,פעיל,קידוח מליח פליסטוקן,קנומן - טורון,100.00,10009,14422160,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229976,פ עין הכרמל שקיף חמד,2357,הימנותא בע"מ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,קנומן תחתון,170.00,11207,14623122,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
229977,פ קרייזמן קיסריה,2358,קרייזמן גיורא,צרכן פרטי,פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,11859,14121468,,המרכז,חוף הכרמל,חוף הכרמל מ.א,שרון
229979,מק אזור התעשיה א37,2425,איזור התעשיה קק"ל מפרץ חיפה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11664,15524668א,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229980,מק אזור התעשיה א29,2425,איזור התעשיה קק"ל מפרץ חיפה,צרכן פרטי,רישיון לסתימה,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11665,15624628א,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229981,פ גלמה בתי זקוק 5,2434,בתי זקוק לנפט בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,קנומן - טורון,,16294,15923604,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229982,פ גלמה 6,2434,בתי זקוק לנפט בע"מ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,136.00,16294ב,15823760,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229983,פ גלמה 1,2434,בתי זקוק לנפט בע"מ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,136.00,16294א,15923606,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229984,פ חיפה דגון,2444,דגון בע"מ - בתי ממגורות לישראל,צרכן פרטי,לא פעיל,קידוח מליח טורון,קנומן - טורון,55.00,16488,14924784,,העמקים,חדרה,חיפה                ,קישון
229986,פ מפרץ חיפה מושלי 33,2473,מי כרמל בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11507א,15524620ב,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229987,פ חיפה 37,2473,מי כרמל בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11678,15524642א,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229988,פ חיפה 38,2473,מי כרמל בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,פליו-פליסטוקן מילוי,,11679,15524620ב,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229989,פ חיפה 39,2473,מי כרמל בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,פליו-פליסטוקן מילוי,,11698,15424588,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229990,פ חיפה 40,2473,מי כרמל בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,פליו-פליסטוקן מילוי,,11699,15424686,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229991,פ חיפה עיריה 41,2473,מי כרמל בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,פליו-פליסטוקן מילוי,,11777,15524688א,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229992,פ חיפה 43,2473,מי כרמל בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,פליו-פליסטוקן מילוי,,11799,15524644ב,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229993,פ חיפה טחנות קמח גדו,2466,הטחנות הגדולות של אי בעמ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,קנומן תחתון,,16223,15024588,מערכת ארצית,המרכז,חדרה,חיפה                ,קישון
229994,פ קרית חיים ג,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,30.00,10276,15624820ב,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229995,פ קרית חיים ל,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,לא פעיל,קידוח מליח הולוקן,הולוקן,25.00,10277א,15624728ג,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229996,פ קרית חיים באר ה,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,פעיל,קידוח מטויב שפיר פל' מיהול,פליו-פליסטוקן מילוי,50.00,10279,15724724,,העמקים,חדרה,חיפה                ,קישון
229997,פ קרית חיים כב המכון (בית),2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,לא פעיל,קידוח מליח הולוקן,הולוקן,100.00,10280,15624702,מערכת ארצית,הצפון,תשלובת קישון,חיפה                ,קישון
229998,פ קרית חיים ו(סונדה),2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,פעיל,קידוח שפיר הולוקן,הולוקן,35.00,10282,15624840,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
229999,פ קרית חיים יד,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,25.00,11087,15624842א,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230000,פ קרית חיים יב,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,18.00,11262,15724802,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230001,פ קרית חיים לא,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,,11263א,15624806ב,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230002,פ קרית חיים כג,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,לא פעיל,קידוח מליח נאוגן,פליו-פליסטוקן מילוי,,11475,15624820,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230003,פ קרית חיים ז,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,,11524,15624862,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230004,פ קרית חיים כד,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,פעיל,קידוח מטויב שפיר פל' מיהול,פליו-פליסטוקן מילוי,30.00,11525,15624840א,,העמקים,חדרה,חיפה                ,קישון
230005,פ קרית חיים כב (מליח),2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,פעיל,קידוח מטויב שפיר פל' מיהול,פליו-פליסטוקן מילוי,70.00,11527,15624700ב,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230006,פ קרית חיים כז,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,,11760,15624826,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230007,פ קרית חיים כח,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,,11761,15724706א,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230008,פ קרית חיים כו,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,פעיל,קידוח שפיר הולוקן,הולוקן,25.00,11764,15624840ב,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230009,פ קרית חיים כט,2502,קרית חיים אגודה הדדית בע"מ,צרכן פרטי,לא פעיל,קידוח מליח נאוגן,פליו-פליסטוקן מילוי,,11775,15624668,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230011,פ אי פי סי ד נפט בעם,2515,תשתיות נפט ואנרגיה בע"מ-טרמינל קרית חיים,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11542,15524706,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230012,פ אי פי סי באר 5 נפט,2515,תשתיות נפט ואנרגיה בע"מ-טרמינל קרית חיים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11543,15524860,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230013,פ ביחר בלובנד,2518,יוניליוור ישראל מזון בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,,16201,15424628,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230014,פ חיפה בלו בנד ב,2518,יוניליוור ישראל מזון בע"מ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,16480,15424700,,העמקים,חדרה,חיפה                ,קישון
230015,פ חיפה בלובנד קרור 2,2518,יוניליוור ישראל מזון בע"מ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,150.00,16480א,15424700א,,העמקים,חדרה,חיפה                ,קישון
230016,פ חיפה בלו בנד 3,2518,יוניליוור ישראל מזון בע"מ,צרכן פרטי,לא פעיל,קידוח מליח הולוקן,הולוקן,,16507,15424648,מערכת ארצית,העמקים,חדרה,חיפה                ,קישון
230017,פ מפרץ ביחר אבן וסיד,2520,תעשית אבן וסיד בע"מ מפ אבן,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16377,15524700,מערכת ארצית,המרכז,חדרה,חיפה                ,קישון
230018,פ חדרה חברת אפאי,2668,מפעלי גרנות בעמ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,145.00,11442,14520564,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230021,פ ברקאי 1,2673,ברקאי קבוץ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,,11212,15220888,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230022,פ ברקאי 3 קבוץ,2673,ברקאי קבוץ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,,11613,15521004,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230027,פ גן שמואל לובין,2677,גן שמואל קבוץ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,10063,14520682,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230028,פ גן שמואל זייתא6486,2677,גן שמואל קבוץ,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,10082,14520540,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230029,פ חדרה גן שמואל תמרה,2677,גן שמואל קבוץ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,10087,14620500,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230030,פ גן שמואל דומירא ב,2677,גן שמואל קבוץ,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,300.00,11226,14320746,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230031,פ גן שמואל דומירא א,2677,גן שמואל קבוץ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,,11452,14320740,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230032,פ חדרה ברוק רם וצילה,2677,גן שמואל קבוץ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,200.00,11719,14520742,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230035,פ כפר מיסר,2710,אגודת מייסר השיתופית לשאיבה ואספקה מי שת,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,75.00,11793,15420528,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230036,פ מגל 3 קבוץ (קקון),2712,מגל קבוץ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,300.00,11473,15319806,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230038,פ מצר קבוץ,2714,מצר קבוץ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,,11417,15420562,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230039,פ מענית קבוץ א,2715,מענית קבוץ (נרבתה),צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,550.00,10054,15220742,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230040,פ מענית קבוץ ב,2715,מענית קבוץ (נרבתה),צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,500.00,11213,15220640,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230041,פ מענית ג,2715,מענית קבוץ (נרבתה),צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,600.00,11806,15220640א,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230043,פ עין עירון א מושב,2728,עין-עירון מושב עובדים להת' שת' בע"מ,צרכן פרטי,פעיל,קידוח שפיר אאוקן,איאוקן,,11215,15020986,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230046,פ עין שמר קב א,2729,עין שמר קבוץ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,180.00,10056,15220704,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230047,פ עין שמר קב ב,2729,עין שמר קבוץ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,428.00,11214,15120722,מערכת ארצית,המרכז,חדרה,מנשה מ.א,שרון
230051,פ נשר אייזנברג,2766,פרידמן חכשורי חברה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16222,15324248,מערכת ארצית,העמקים,חדרה,נשר                 ,קישון
230053,פ נשר ממשלתית,2778,נשר - מפעלי מלט ישאליים בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,איאוקן,125.00,11509,15524080,מערכת ארצית,העמקים,חדרה,נשר                 ,קישון
230054,פ נשר ביחר ב,2778,נשר - מפעלי מלט ישאליים בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,איאוקן,,16295,15524044,מערכת ארצית,העמקים,חדרה,נשר                 ,קישון
230055,פ נשר מחצבה,2778,נשר - מפעלי מלט ישאליים בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,קנומן - טורון,,16440,15524120א,מערכת ארצית,העמקים,חדרה,נשר                 ,קישון
230056,פ נשר אבן וסיד,2790,תעשית אבן וסיד קמ 4.5,צרכן פרטי,לא פעיל,קידוח שפיר טורון,פליו-פליסטוקן מילוי,,16463,15324246,מערכת ארצית,העמקים,חדרה,נשר                 ,קישון
230057,פ עתלית ביחר לקרח,2855,פריאור בע"מ-בית קירור עתלית,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,קנומן - טורון,,16389,14523522,,המרכז,חוף הכרמל,חוף הכרמל מ.א,חוף הכרמל
230058,פ איטונג 6,2908,איטונג בע"מ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,30.00,16417א,14520968,מערכת ארצית,המרכז,חדרה,קיסריה,שרון
230059,פ פרדס חנה איטונג 3,2908,איטונג בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16451,14520966א,מערכת ארצית,המרכז,חדרה,קיסריה,שרון
230060,פ פרדס חנה איטונג 4,2908,איטונג בע"מ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,30.00,16517,14520966ב,מערכת ארצית,המרכז,חדרה,קיסריה,שרון
230061,פ פרדס חנה איטונג 5,2908,איטונג בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16520,14521060,מערכת ארצית,המרכז,חדרה,קיסריה,שרון
230062,פ פרדס חנה גוניק,2917,שרון אלקניאן,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,10052,14520842,מערכת ארצית,המרכז,חדרה,פרדס חנה-כרכו,שרון
230063,פ פרדס חנה חנוביץ,2939,חנוביץ נחמן,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11670,14721126,מערכת ארצית,המרכז,חדרה,פרדס חנה-כרכו,שרון
230064,פ פרדס חנה(אסתר דוד),2971,נכסי חמ"ג בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,10074,14420782א,מערכת ארצית,המרכז,חדרה,פרדס חנה-כרכו,שרון
230065,פ פרדס חנה ג גלבר,2971,נכסי חמ"ג בע"מ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,,11798,14520726א,מערכת ארצית,המרכז,חדרה,פרדס חנה-כרכו,שרון
230066,פ פרדס חנה ניר 3,2983,מפעלי שיקום לפועלים חקלאים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11657,14721108,מערכת ארצית,המרכז,חדרה,פרדס חנה-כרכו,שרון
230067,פ פרדס חנה ניר 2,2983,מפעלי שיקום לפועלים חקלאים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16469,14621186,מערכת ארצית,המרכז,חדרה,פרדס חנה-כרכו,שרון
230068,פ כרכור מועצה מקומית (פרדס חנה-כרכור),12995,מועצה מקומית פרדס חנה - כרכור,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,300.00,11211,15120824,מערכת ארצית,המרכז,חדרה,פרדס חנה-כרכו,שרון
230069,פ פרדס חנה ב,2995,חב' משאבי מים פרדס חנה-כרכור בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,50.00,11811,14520868,מערכת ארצית,המרכז,חדרה,פרדס חנה-כרכו,שרון
230070,פ פרדס חנה ג רמז א,2995,חב' משאבי מים פרדס חנה-כרכור בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11823,14520728,מערכת ארצית,המרכז,חדרה,פרדס חנה-כרכו,שרון
230071,פ פרדס חנה תבורי,3017,תשלובת תבורי בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16489,14720888,מערכת ארצית,המרכז,חדרה,פרדס חנה-כרכו,שרון
230072,פ כורדאנה בי,3030,חברת מליסה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16385,15824988ב,מערכת ארצית,העמקים,גליל מערבי,קרית ביאליק         ,קישון
230073,פ כורדאנה טכסטיל38די,3030,חברת מליסה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16386,15925000,מערכת ארצית,העמקים,גליל מערבי,קרית ביאליק         ,קישון
230074,פ כורדאנה באר 5 חדשה,3030,חברת מליסה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,,16387,15825020א,מערכת ארצית,העמקים,גליל מערבי,קרית ביאליק         ,קישון
230075,פ כורדאנה טכסטיל 5די,3030,חברת מליסה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16388,15925000ב,מערכת ארצית,העמקים,גליל מערבי,קרית ביאליק         ,קישון
